species,altitude,totalmass_dry,rootshootratio,above_groundmass,root_dry,RMR,leaf_totalmass,LMR,stem_dry,SMR,SLA,specific root length,root tissue density,specific root area,Root.Length.Diameter.Range.1.mm,Surface.Area.Diameter.Range.1.mm2,Volume.Diameter.Range.1.mm3
Erigeron annuus,1040,0.5127,0.339691664,0.3827,0.13,0.253559587,0.1027,0.200312073,0.25,0.487614589,3.28E+02,16271.28256,7.93E-06,74127.37285,1785.028166,2681.148805,489.518431
Erigeron annuus,1040,1.23,0.182692308,1.04,0.19,0.154471545,0.3,0.243902439,0.59,0.479674797,4.79E+02,25781.98021,1.22E-05,76668.27839,4469.036082,7247.191994,1412.907882
Erigeron annuus,1040,0.3165,0.338266385,0.2365,0.08,0.252764613,0.0765,0.241706161,0.12,0.379146919,4.51E+02,15957.79728,1.08E-05,70945.50039,1041.863791,1613.833379,307.366528
Erigeron annuus,1040,0.5062,0.600885515,0.3162,0.19,0.375345713,0.0762,0.150533386,0.19,0.375345713,3.05E+02,12745.06172,9.63E-06,59306.63541,2037.667137,3349.131818,671.03096
Erigeron annuus,1040,0.5646,0.269905533,0.4446,0.12,0.212539851,0.1246,0.220687212,0.24,0.425079702,3.08E+02,28300.37309,3.73E-06,158419.4895,2663.070097,4615.299112,1007.063721
Erigeron canadensis,1040,1.04,0.11827957,0.93,0.11,0.105769231,0.63,0.605769231,0.3,0.288461538,4.01E+02,27407.7733,8.17E-06,115037.2546,2479.246589,4428.299854,955.266521
Erigeron canadensis,1040,1.38,0.2,1.15,0.23,0.166666667,0.71,0.514492754,0.44,0.31884058,3.56E+02,16920.88155,1.16E-05,67086.46706,3281.636382,5379.553492,1111.086566
Erigeron canadensis,1040,0.3,0.25,0.24,0.06,0.2,0.18,0.6,0.06,0.2,4.63E+02,30112.82057,2.19E-05,74767.66603,1672.820056,2767.205282,556.932613
Erigeron canadensis,1040,0.74,0.121212121,0.66,0.08,0.108108108,0.41,0.554054054,0.25,0.337837838,4.35E+02,21564.37943,3.26E-05,50629.71849,1596.873628,2390.170695,431.864938
Erigeron canadensis,1040,0.58,0.094339623,0.53,0.05,0.086206897,0.36,0.620689655,0.17,0.293103448,298.375,12542.07466,0.000134062,26756.41404,600.173628,1106.187012,211.119693
Erigeron annuus,1140,2.68,0.16017316,2.31,0.37,0.138059701,0.43,0.160447761,1.33,0.496268657,2.17E+02,5112.754251,1.69E-05,29460.9641,1510.157375,2544.144064,537.430569
Erigeron annuus,1140,1.46,0.168,1.25,0.21,0.143835616,0.56,0.383561644,0.63,0.431506849,2.54E+02,11840.6417,2.67E-05,37884.60563,2215.279517,3601.543469,714.951316
